SKU,cates,img_url,name,price,tag
 WM2091 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Nagato-WM2091-Minifigures-600x600.jpg,Anime Naruto Shippuden Nagato WM2091 Minifigures,1.1,Nagato
 WM2092 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Uchiha-Itachi-WM2092-Minifigures-600x600.jpg,Anime Naruto Shippuden Uchiha Itachi WM2092 Minifigures,1.1,Uchiha Itachi
 WM2093 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Zetsu-WM2093-Minifigures-600x600.jpg,Anime Naruto Shippuden Zetsu WM2093 Minifigures,1.1,Zetsu
 WM2106 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Minato-Namikaze-WM2106-Minifigures-600x600.jpg,Anime Naruto Shippuden Minato Namikaze WM2106 Minifigures,1.3,Minato Namikaze
 K2042 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Hashirama-Senju-K2042-Minifigures-600x600.jpg,Anime Naruto Shippuden Hashirama Senju K2042 Minifigures,1.1,Hashirama Senju
 K2041 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Hoshigaki-Kisame-K2041-Minifigures-600x600.jpg,Anime Naruto Shippuden Hoshigaki Kisame K2041 Minifigures,1.1,Hoshigaki Kisame
 K2043 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Naruto-Uzumaki-K2043-Minifigures-600x600.jpg,Anime Naruto Shippuden Naruto Uzumaki K2043 Minifigures,1.1,Naruto Uzumaki
 K2044 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Naruto-Uzumaki-K2044-Minifigures-600x600.jpg,Anime Naruto Shippuden Naruto Uzumaki K2044 Minifigures,1.1,Naruto Uzumaki
 WM2105 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Naruto-Uzumaki-WM2105-Minifigures-600x600.jpg,Anime Naruto Shippuden Naruto Uzumaki WM2105 Minifigures,1.3,Naruto Uzumaki
 WM2121 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Uchiha-Madara-WM2121-Minifigures-600x600.jpg,Anime Naruto Shippuden Uchiha Madara WM2121 Minifigures,1.3,Uchiha Madara
 WM2117 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Hatake-Kakashi-WM2117-Minifigures-600x600.jpg,Anime Naruto Shippuden Hatake Kakashi WM2117 Minifigures,1.3,Hatake Kakashi
 WM2120 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Zetsu-WM2120-Minifigures-600x600.jpg,Anime Naruto Shippuden Zetsu WM2120 Minifigures,1.0,Zetsu
 WM2085 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/08/Naruto-Shippuden-Sasori-WM2085-Minifigures-600x600.jpg,Anime Naruto Shippuden Sasori WM2085 Minifigures,1.1,Sasori
